time,tmp,pre,runoff
1911-03-16,3.090909,19.271658,5140.0
1911-04-16,7.9454546,48.928078,8100.0
1911-05-16,11.450001,104.45321,15600.0
1911-06-16,14.205081,167.99332,27200.0
1911-07-16,16.283958,127.59384,35600.0
1911-08-16,15.933959,159.82996,34400.0
1911-09-16,13.24305,103.85589,23200.0
1911-10-16,8.280214,81.39465,25200.0
1911-11-16,2.6104279,28.68235,15200.0
1911-12-16,-1.8401073,9.728342,7600.0
1912-01-16,-2.5454545,8.217915,5340.0
1912-02-15,-0.31363624,12.356952,4730.0
1912-03-16,2.9181817,22.65909,5460.0
1912-04-16,7.552674,50.900536,7890.0
1912-05-16,12.009893,81.36819,11700.0
1912-06-16,14.649465,145.51845,19200.0
1912-07-16,16.26016,157.23529,32300.0
1912-08-16,15.910428,115.958015,28600.0
1912-09-16,12.881284,102.460434,16800.0
1912-10-16,8.234225,50.823536,13500.0
1912-11-16,2.5259361,27.939573,7960.0
1912-12-16,-1.6411762,10.86123,5260.0
1913-01-16,-2.4481282,8.185829,4520.0
1913-02-15,-0.4978611,11.005883,3760.0
1913-03-16,2.8855615,28.751608,4670.0
1913-04-16,7.366043,51.5492,8130.0
1913-05-16,11.23877,84.06658,11900.0
1913-06-16,14.367379,122.00749,20600.0
1913-07-16,16.280483,172.31847,29300.0
1913-08-16,16.274332,155.4385,28100.0
1913-09-16,13.069786,105.91123,25700.0
1913-10-16,8.633423,66.294914,20900.0
1913-11-16,2.4213903,27.18663,10500.0
1913-12-16,-1.8141711,13.872994,6200.0
1914-01-16,-1.9754012,5.24492,4440.0
1914-02-15,-0.49010724,14.061498,4100.0
1914-03-16,3.6256685,19.500267,4480.0
1914-04-16,7.3962574,44.80936,5890.0
1914-05-16,11.690107,88.60241,12100.0
1914-06-16,14.873263,142.28343,16900.0
1914-07-16,16.971123,131.10776,17400.0
1914-08-16,15.721391,146.25188,30800.0
1914-09-16,12.780748,92.887436,20700.0
1914-10-16,8.061231,65.123,18800.0
1914-11-16,2.6858292,17.150803,9940.0
1914-12-16,-1.1147059,9.368449,5910.0
1915-01-16,-2.1655078,5.5387692,4490.0
1915-02-15,-0.5224599,7.6943855,3590.0
1915-03-16,3.5109627,15.973264,3240.0
1915-04-16,7.818182,37.90187,5770.0
1915-05-16,11.786363,72.91925,10900.0
1915-06-16,14.195454,139.37273,13600.0
1915-07-16,16.104813,166.24973,23800.0
1915-08-16,15.786364,172.10936,32100.0
1915-09-16,12.75615,202.2893,30200.0
1915-10-16,9.281284,79.375404,19700.0
1915-11-16,3.5013368,18.250534,10300.0
1915-12-16,-0.66844904,8.27754,5940.0
1916-01-16,-2.563904,14.2601595,4610.0
1916-02-15,-0.57326204,12.625401,4290.0
1916-03-16,3.5737967,28.098663,4530.0
1916-04-16,7.8657756,78.348404,9530.0
1916-05-16,12.021658,84.141716,17700.0
1916-06-16,14.850801,135.6238,13400.0
1916-07-16,16.176737,218.94548,26900.0
1916-08-16,16.29278,112.44037,23800.0
1916-09-16,13.403744,142.36899,23500.0
1916-10-16,8.308289,77.916306,21900.0
1916-11-16,3.2270055,22.193312,15100.0
1916-12-16,-1.5363638,9.443315,6630.0
1917-01-16,-3.1866312,4.781017,4520.0
1917-02-15,-0.9933157,16.701605,3950.0
1917-03-16,3.0679145,20.930748,4870.0
1917-04-16,7.445188,54.140373,8110.0
